"","Diversity_Indices","Forest","Index","Diversity_Index","Forest_Name"
"1","div_shan","BC",0.911179557,"Shannon Index","Beaver Creek"
"2","inv_simp","BC",1.9529671255,"Inverse Simpson Index","Beaver Creek"
"3","SR","BC",6,"Species Richness","Beaver Creek"
"4","div_shan","DEG",0.90366727,"Shannon Index","Degrasse"
"5","inv_simp","DEG",2.560131514,"Inverse Simpson Index","Degrasse"
"6","SR","DEG",9.25,"Species Richness","Degrasse"
"7","div_shan","DON",1.222063575,"Shannon Index","Donnerville"
"8","inv_simp","DON",2.77562673375,"Inverse Simpson Index","Donnerville"
"9","SR","DON",6.75,"Species Richness","Donnerville"
"10","div_shan","SH",1.26506056675,"Shannon Index","South Hammond"
"11","inv_simp","SH",3.24274460525,"Inverse Simpson Index","South Hammond"
"12","SR","SH",6.25,"Species Richness","South Hammond"
"13","div_shan","WF",1.06256349525,"Shannon Index","Whiskey Flats"
"14","inv_simp","WF",2.31502655375,"Inverse Simpson Index","Whiskey Flats"
"15","SR","WF",8,"Species Richness","Whiskey Flats"
"16","div_shan","WHIP",1.325423344,"Shannon Index","Whippoorwill Corners"
"17","inv_simp","WHIP",2.75603369525,"Inverse Simpson Index","Whippoorwill Corners"
"18","SR","WHIP",9.5,"Species Richness","Whippoorwill Corners"
